file path,status,task
backend\package.json,used,Project dependencies and scripts
backend\package-lock.json,used,Dependency lock file
backend\.gitignore,used,Git ignore patterns
backend\.env.example,used,Environment variables template
backend\src\server.js,used,Express server entry point
backend\src\common\helpers\sanitizer.js,used,Input sanitization utilities
backend\src\common\helpers\phoneValidator.js,used,Phone number validation
backend\src\common\helpers\logger.js,used,Winston structured logging
backend\src\common\helpers\validationHelpers.js,used,Validation helper functions
backend\src\common\helpers\graphApiClient.js,used,WhatsApp Graph API client
backend\src\common\helpers\geocodingHelper.js,used,Geocoding utilities
backend\src\modules\automations\services\flowDataService.js,used,Flow data management service
backend\src\modules\automations\routes\flowDataRoutes.js,used,Flow data routes - /flows/data
backend\src\modules\automations\services\flowAnalyticsService.js,used,Flow analytics service
backend\src\modules\automations\routes\flowAnalyticsRoutes.js,used,Flow analytics routes - /flows/analytics
backend\src\modules\automations\services\flowPublishingService.js,used,Flow publishing service
backend\src\modules\automations\routes\flowPublishingRoutes.js,used,Flow publishing routes - /flows/publish
backend\src\modules\webhooks\services\webhookForwardingService.js,used,Webhook forwarding service
backend\src\modules\templates\services\templateNamespaceService.js,used,Template namespace service
backend\src\modules\webhooks\routes\messageContentBuilder.js,used,Message content builder utility
backend\src\modules\templates\routes\templateNamespaceRoutes.js,used,Template namespace routes - /templates/namespace
backend\src\modules\webhooks\routes\alertHandler.js,used,Webhook alert handler
backend\src\modules\webhooks\routes\statusHandler.js,used,Webhook status handler
backend\src\modules\webhooks\routes\welcomeHandler.js,used,Webhook welcome message handler
backend\src\modules\webhooks\routes\messageHandler.js,used,Webhook message handler
backend\src\modules\templates\routes\templateRoutes.js,used,Template routes - /templates
backend\src\modules\webhooks\routes\additionalHandlers.js,used,Additional webhook handlers
backend\src\common\helpers\errorCodes.js,used,Error code constants
backend\src\integrations\whatsapp\whatsappBusinessService.js,used,WhatsApp Business API service
backend\src\integrations\notifications\rateLimitService.js,used,Rate limiting service
backend\src\integrations\whatsapp\whatsappAccountService.js,used,WhatsApp account service
backend\src\integrations\notifications\phoneHealthCheckService.js,used,Phone health check service
backend\src\integrations\notifications\notificationService.js,used,Notification service
backend\src\integrations\notifications\messageReactionsService.js,used,Message reactions service
backend\src\common\helpers\envValidator.js,used,Environment variable validator
backend\src\integrations\whatsapp\whatsappGroupService.js,used,WhatsApp group service
backend\src\common\helpers\businessContext.js,used,Business context helper
backend\src\integrations\whatsapp\whatsappLocationService.js,used,WhatsApp location service
backend\src\integrations\whatsapp\whatsappTemplateService.js,used,WhatsApp template service
backend\src\integrations\whatsapp\whatsappStatusService.js,used,WhatsApp status service
backend\src\integrations\whatsapp\whatsappService.js,used,Main WhatsApp service
backend\src\integrations\whatsapp\whatsappMessagingService.js,used,WhatsApp messaging service
backend\src\integrations\whatsapp\whatsappMediaService.js,used,WhatsApp media service
backend\src\modules\contacts\services\bulkOperationsService.js,used,Bulk contact operations service
backend\src\modules\contacts\services\contactTagsService.js,used,Contact tags service
backend\src\modules\messages\services\retryService.js,used,Message retry service
backend\src\modules\contacts\routes\rateLimitRoutes.js,used,Contact rate limit routes - /contacts/rate-limit
backend\src\modules\contacts\routes\deduplicationRoutes.js,used,Contact deduplication routes - /contacts/deduplicate
backend\src\modules\contacts\routes\bulkUtilityRoutes.js,used,Bulk utility routes - /contacts/bulk/utility
backend\src\modules\contacts\routes\bulkTagsRoutes.js,used,Bulk tags routes - /contacts/bulk/tags
backend\src\modules\contacts\routes\bulkOperationsRoutes.js,used,Bulk operations routes - /contacts/bulk
backend\src\modules\messages\routes\complianceRoutes.js,used,Compliance routes - /messages/compliance
backend\src\modules\messages\routes\conversationWindowRoutes.js,used,Conversation window routes - /messages/conversation-window
backend\src\modules\messages\routes\conversationRoutes.js,used,Conversation routes - /conversations
backend\src\modules\messages\routes\locationRoutes.js,used,Location message routes - /messages/location
backend\src\modules\messages\routes\interactiveMessageRoutes.js,used,Interactive message routes - /messages/interactive
backend\src\core\config\welcomeMessage.js,used,Welcome message configuration
