route,status
POST /api/auth/register,incomplete
POST /api/auth/login,incomplete
GET /api/auth/me,incomplete
GET /api/auth/verify,incomplete
PUT /api/auth/profile,incomplete
PUT /api/auth/password,incomplete
POST /api/auth/refresh,incomplete
POST /api/auth/logout,incomplete
GET /api/business/,incomplete
GET /api/business/:id,incomplete
POST /api/business/,incomplete
PUT /api/business/:id,incomplete
POST /api/business/:id/switch,incomplete
POST /api/business/:id/webhook/complete,incomplete
PUT /api/business/credentials/:id/credentials,incomplete
GET /api/business/credentials/:id/health,incomplete
GET /api/business/credentials/:id/usage,incomplete
POST /api/business/credentials/:id/regenerate-verify-token,incomplete
GET /api/business/profile/,incomplete
PUT /api/business/profile/,incomplete
POST /api/business/profile/password,incomplete
GET /api/business/profile/whatsapp,incomplete
PUT /api/business/profile/whatsapp,incomplete
POST /api/business/profile/avatar,incomplete
POST /api/business/:id/team,incomplete
PUT /api/business/:id/team/:userId,incomplete
DELETE /api/business/:id/team/:userId,incomplete
GET /api/business/verification/,incomplete
POST /api/business/verification/request,incomplete
GET /api/business/verification/requirements,incomplete
GET /api/business/:businessId/capabilities,incomplete
POST /api/business/:businessId/capabilities/sync,incomplete
PUT /api/business/:businessId/capabilities/payment,incomplete
GET /api/business/:businessId/capabilities/payment/config,incomplete
GET /api/business/location/,incomplete
PUT /api/business/location/,incomplete
DELETE /api/business/location/,incomplete
GET /api/business/business-profile,incomplete
PUT /api/business/business-profile,incomplete
POST /api/business/business-profile/photo,incomplete
GET /api/business/limits/account-limits,incomplete
GET /api/business/limits/messaging-limits,incomplete
GET /api/business/limits/quality-rating/history,incomplete
POST /api/business/limits/quality-rating/check,incomplete
GET /api/business/welcome-message,incomplete
PUT /api/business/welcome-message,incomplete
GET /api/business/welcome-message/templates,incomplete
POST /api/business/welcome-message/test,incomplete
GET /api/business/:businessId/working-hours,incomplete
PUT /api/business/:businessId/working-hours,incomplete
GET /api/business/:businessId/working-hours/status,incomplete
GET /api/business/alerts/,incomplete
GET /api/business/alerts/stats,incomplete
GET /api/business/alerts/:id,incomplete
PUT /api/business/alerts/:id,incomplete
PUT /api/business/alerts/bulk/mark-read,incomplete
POST /api/business/alerts/test,incomplete
GET /api/business/alert-actions/,incomplete
GET /api/business/alert-actions/stats,incomplete
GET /api/business/alert-actions/unresolved,incomplete
GET /api/business/health-alerts/alerts,incomplete
PATCH /api/business/health-alerts/alerts/:alertId/acknowledge,incomplete
GET /api/business/health-alerts/metrics,incomplete
POST /api/business/health-alerts/metrics/update,incomplete
GET /api/business/health-alerts/limits,incomplete
POST /api/business/health-alerts/quality/improve,incomplete
GET /api/business/health-monitoring/,incomplete
POST /api/business/health-monitoring/check,incomplete
GET /api/business/health-monitoring/history,incomplete
GET /api/business/health-monitoring/recommendations,incomplete
GET /api/business/rate-limits,incomplete
GET /api/business/admin/rate-limits,incomplete
GET /api/campaigns/,incomplete
GET /api/campaigns/:id,incomplete
POST /api/campaigns/,incomplete
PUT /api/campaigns/:id,incomplete
GET /api/campaigns/:id/recipients,incomplete
GET /api/campaigns/:id/stats,incomplete
GET /api/campaigns/:id/failed,incomplete
POST /api/campaigns/:id/retry,incomplete
POST /api/campaigns/:id/start,incomplete
POST /api/campaigns/:id/pause,incomplete
POST /api/campaigns/:id/resume,incomplete
POST /api/campaigns/:id/cancel,incomplete
GET /api/campaigns/flows/,incomplete
GET /api/campaigns/flows/:id,incomplete
POST /api/campaigns/flows/,incomplete
PUT /api/campaigns/flows/:id,incomplete
POST /api/campaigns/flows/:id/publish,incomplete
POST /api/campaigns/flows/:id/deprecate,incomplete
POST /api/campaigns/flows/:id/send,incomplete
GET /api/campaigns/flows/:id/responses,incomplete
GET /api/campaigns/flows/:id/analytics,incomplete
GET /api/campaigns/flows/stats/summary,incomplete
POST /api/scheduled-messages/scheduled-messages,incomplete
GET /api/scheduled-messages/,incomplete
GET /api/scheduled-messages/:id,incomplete
PUT /api/scheduled-messages/:id,incomplete
DELETE /api/scheduled-messages/:id,incomplete
GET /api/scheduled-messages/stats/summary,incomplete
POST /api/contacts/bulk/archive,incomplete
POST /api/contacts/bulk/unarchive,incomplete
POST /api/contacts/bulk/assign,incomplete
POST /api/contacts/bulk/unassign,incomplete
POST /api/contacts/bulk/status,incomplete
POST /api/contacts/bulk-tags/tags/add,incomplete
POST /api/contacts/bulk-tags/tags/remove,incomplete
POST /api/contacts/bulk-utility/validate,incomplete
GET /api/contacts/bulk-utility/stats,incomplete
POST /api/contacts/bulk-utility/export/metadata,incomplete
